"Időbélyeg"," Mi a kutyája fajtája?","Milyen idős a kutyája?","Milyen színekből áll a kutyája szőre?","Mekkora a kutyája? ","Mekkora a kutyája eledeligénye?","Milyen hosszú a kutyája szőre?","Mennyire göndör a kutyája szőre?","Mennyi ápolást igényel a kutyája?","Milyen gyakran kell a kutyája után a levedlett szőrt eltakarítania?","Mennyi mozgást igényel a kutyája?","Mennyire játékos a kutyája?","Mennyire tanulékony a kutyája? ","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta kisgyermekes családok számára?","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta macskával is rendelkező családok számára?","Milyen gyakran volt egészségügyi problémája a kutyájának?","Mennyire szokott hangos lenni a kutyája?","Mennyire tűri jól a kutyája az egyedüllétet?","Mennyire jellemző a kutyájára, hogy amikor veszélyt érez, megpróbálja megvédeni önt?"
"2024/02/01 11:06:40 de. EET","Keverék","Idős","fekete","2","2","1","1","1","3","1","2","5","5","1","2","1","5","1"
"2024/02/01 11:08:13 de. EET","Puli","Idős","fekete","4","3","5","4","4","4","4","4","4","5","4","1","4","4","4"
"2024/02/01 11:08:25 de. EET","Bullterrier","Idős","fehér","2","3","1","1","1","2","3","3","3","2","2","3","2","4","2"
"2024/02/01 11:08:42 de. EET","Labrador retriever","Idős","fehér;krémszínű","3","4","2","1","2","4","3","4","5","5","2","4","3","3","4"
"2024/02/01 11:08:49 de. EET","Shiba Inu","Középkorú","fehér;vörös","2","2","2","1","2","4","3","5","5","4","4","2","1","4","1"
"2024/02/01 11:09:35 de. EET","Keverék","Középkorú","fehér;barna;krémszínű","3","2","2","2","2","1","4","4","4","5","3","1","5","5","5"
"2024/02/01 11:09:35 de. EET","Shiba Inu","Kölyök","fehér;sárgásbarna;vörös","3","3","2","1","1","3","3","5","3","4","3","1","1","3","3"
"2024/02/01 11:09:41 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;barna;sárgásbarna","5","5","3","1","5","5","5","5","5","4","3","2","3","2","2"
"2024/02/01 11:10:00 de. EET","Alaszkai malamut","Középkorú","fekete;fehér;krémszínű","4","4","4","1","3","4","4","5","4","5","3","2","2","3","4"
"2024/02/01 11:10:12 de. EET","Alaszkai malamut","Középkorú","fehér;szürke","4","4","5","1","2","3","5","5","4","4","3","1","2","2","2"
"2024/02/01 11:10:31 de. EET","Puli","Idős","fehér","3","4","2","1","4","4","2","2","4","3","1","3","2","2","2"
"2024/02/01 11:10:33 de. EET","Német juhászkutya","Kölyök","fekete;barna","4","4","3","1","3","3","5","4","3","3","3","1","4","2","3"
"2024/02/01 11:10:34 de. EET","Francia bulldog","Középkorú","barna;vörös","5","4","1","1","1","2","4","5","3","3","1","3","3","2","5"
"2024/02/01 11:11:04 de. EET","Border collie","Középkorú","fekete;fehér;barna","3","3","2","1","1","4","5","5","5","1","3","2","3","2","1"
"2024/02/01 11:11:36 de. EET","Tibeti terrier","Középkorú","fekete;fehér;krémszínű","5","3","5","3","4","5","4","5","4","5","1","3","3","2","2"
"2024/02/01 11:11:41 de. EET","Puli","Kölyök","fehér","3","3","3","2","5","1","5","5","5","5","1","1","3","3","5"
"2024/02/01 11:11:44 de. EET","Máltai selyemkutya","Idős","fehér","2","2","2","1","2","1","3","3","3","5","3","1","3","5","1"
"2024/02/01 11:11:50 de. EET","Máltai selyemkutya","Középkorú","fehér","3","3","4","2","2","1","5","5","5","4","1","2","1","5","4"
"2024/02/01 11:12:44 de. EET","Puli","Kölyök","fekete;szürke;barna","3","3","4","2","3","5","5","5","5","5","5","1","3","3","4"
"2024/02/01 11:12:55 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;barna","4","4","5","3","3","5","4","5","5","3","1","1","3","5","2"
"2024/02/01 11:12:56 de. EET","Francia bulldog","Középkorú","fehér;sárgásbarna","3","5","1","1","4","3","5","5","4","5","3","2","1","3","3"
"2024/02/01 11:13:08 de. EET","Német juhászkutya","Középkorú","fekete;szürke;krémszínű","5","5","2","1","3","5","5","5","5","4","4","5","1","5","5"
"2024/02/01 11:13:17 de. EET","Mopsz","Kölyök","fekete;krémszínű","3","5","3","1","3","3","5","5","3","5","5","2","5","4","5"
"2024/02/01 11:13:36 de. EET","Puli","Idős","fekete;barna;vörös","5","3","3","3","2","1","5","4","5","5","3","3","3","3","5"
"2024/02/01 11:14:14 de. EET","Francia bulldog","Középkorú","szürke","1","3","1","1","4","3","5","4","3","5","3","1","3","3","2"
"2024/02/01 11:14:15 de. EET","Shiba Inu","Idős","fehér;vörös","2","2","2","1","1","4","4","4","5","4","5","1","1","5","3"
"2024/02/01 11:15:25 de. EET","Labrador retriever","Középkorú","barna","4","2","1","1","1","1","5","5","5","5","5","1","3","4","4"
"2024/02/01 11:15:32 de. EET","Cocker spániel","Kölyök","fekete","2","2","3","2","4","3","3","5","5","4","4","2","1","4","2"
"2024/02/01 11:15:40 de. EET","Basset hound","Középkorú","fekete;fehér;barna;sárgásbarna","5","5","3","1","4","5","5","5","4","5","3","3","4","2","4"
"2024/02/01 11:16:02 de. EET","Puli","Kölyök","fekete;fehér","3","5","4","3","5","5","5","5","5","4","1","2","5","3","3"
"2024/02/01 11:16:04 de. EET","Boxer","Középkorú","fekete;fehér;barna;vörös","4","3","2","1","3","5","5","5","5","5","2","3","3","1","3"
"2024/02/01 11:16:05 de. EET","Tibeti terrier","Idős","fekete;fehér;barna","3","5","4","3","5","1","3","2","4","1","3","5","4","4","1"
"2024/02/01 11:16:12 de. EET","Francia bulldog","Középkorú","fekete;fehér","3","5","3","1","1","4","3","4","3","3","1","4","2","1","5"
"2024/02/01 11:16:13 de. EET","Puli","Középkorú","fekete;fehér","2","2","3","3","5","3","5","5","4","5","5","2","3","2","2"
"2024/02/01 11:16:26 de. EET","Puli","Középkorú","fekete","3","2","4","5","3","2","2","1","5","2","3","1","4","2","5"
"2024/02/01 11:16:28 de. EET","Német juhászkutya","Középkorú","fekete;fehér;sárgásbarna;krémszínű","4","4","3","1","3","4","5","5","5","5","2","1","3","2","1"
"2024/02/01 11:17:16 de. EET","Rottweiler","Középkorú","fekete;barna","5","4","2","1","1","3","5","5","5","2","2","2","4","5","1"
"2024/02/01 11:17:25 de. EET","Puli","Középkorú","fehér","3","3","4","4","4","3","4","5","5","4","2","3","5","1","5"
"2024/02/01 11:18:33 de. EET","Jack Russell terrier","Idős","fehér;sárgásbarna","2","2","1","1","1","3","3","3","5","5","2","3","1","2","3"
"2024/02/01 11:18:42 de. EET","Staffordshire bullterrier","Középkorú","fehér;barna","3","5","1","1","2","4","5","4","2","4","1","3","5","5","3"
"2024/02/01 11:19:58 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","3","2","1","1","5","5","4","5","4","2","2","1","3","4"
"2024/02/01 11:20:13 de. EET","Tibeti terrier","Kölyök","fekete;fehér;szürke","3","3","5","2","5","3","4","5","5","5","3","1","1","5","2"
"2024/02/01 11:20:14 de. EET","Puli","Középkorú","fekete","2","2","3","3","2","1","3","5","5","4","5","3","2","2","4"
"2024/02/01 11:20:47 de. EET","Újfundlandi","Középkorú","fekete","5","4","4","2","4","4","5","5","4","5","5","2","1","2","3"
"2024/02/01 11:21:53 de. EET","Francia bulldog","Középkorú","fekete;barna;krémszínű","3","3","1","1","1","2","1","3","4","5","4","3","2","1","4"
"2024/02/01 11:22:35 de. EET","Dán dog","Középkorú","fekete;fehér","5","4","1","1","1","5","4","4","5","4","3","1","4","2","5"
"2024/02/01 11:23:58 de. EET","Puli","Középkorú","fehér","3","3","4","5","1","1","3","3","5","5","5","1","2","2","4"
"2024/02/01 11:24:43 de. EET","Máltai selyemkutya","Középkorú","fehér","2","2","3","2","5","1","3","4","4","3","4","5","3","3","3"
"2024/02/01 11:24:57 de. EET","Puli","Kölyök","fekete;szürke","3","3","5","5","5","2","5","5","5","3","3","1","4","1","3"
"2024/02/01 11:25:12 de. EET","Border collie","Középkorú","barna","3","3","5","3","2","3","4","5","5","4","5","2","2","3","3"
"2024/02/01 11:25:14 de. EET","Keverék","Középkorú","fekete;fehér;barna","3","4","1","1","1","3","5","5","5","5","3","1","1","5","1"
"2024/02/01 11:25:53 de. EET","Csivava","Középkorú","fehér","1","2","1","1","3","5","5","5","5","4","3","1","3","5","5"
"2024/02/01 11:25:59 de. EET","Bichon","Kölyök","fehér;barna","1","3","5","3","5","3","1","5","5","3","5","1","3","3","5"
"2024/02/01 11:26:04 de. EET","Máltai selyemkutya","Középkorú","fehér","2","3","3","1","5","3","1","4","4","5","2","2","3","4","5"
"2024/02/01 11:26:21 de. EET","Csivava","Idős","fekete;fehér","2","3","5","1","4","3","3","3","4","3","3","1","3","5","5"
"2024/02/01 11:26:21 de. EET","Basset hound","Középkorú","fekete;fehér;barna","4","4","1","1","1","3","2","2","2","5","5","2","1","1","5"
"2024/02/01 11:26:39 de. EET","Jack Russell terrier","Középkorú","fekete;fehér","4","3","2","2","2","3","4","2","5","3","1","1","1","3","4"
"2024/02/01 11:26:58 de. EET","Csivava","Középkorú","krémszínű","2","1","2","1","1","5","2","2","3","3","5","3","3","4","5"
"2024/02/01 11:27:23 de. EET","Tacskó","Kölyök","fekete;sárgásbarna","2","3","1","1","2","5","4","5","5","5","5","2","2","3","5"
"2024/02/01 11:27:48 de. EET","Német juhászkutya","Kölyök","fekete;fehér","3","2","2","1","2","2","4","5","4","4","1","2","3","2","4"
"2024/02/01 11:28:34 de. EET","Shar pei","Középkorú","barna;sárgásbarna","3","3","2","1","1","2","4","4","4","5","1","1","1","5","5"
"2024/02/01 11:28:37 de. EET","Német juhászkutya","Középkorú","fekete;barna","5","5","4","1","3","2","5","3","4","3","4","3","3","4","3"
"2024/02/01 11:28:51 de. EET","Csivava","Kölyök","fekete;barna;sárgásbarna;krémszínű","2","2","4","1","3","4","4","4","4","3","5","2","3","5","3"
"2024/02/01 11:29:20 de. EET","Staffordshire bullterrier","Középkorú","fehér;szürke","4","3","2","1","1","3","4","4","4","4","1","4","3","3","4"
"2024/02/01 11:29:35 de. EET","Ausztrál juhászkutya","Kölyök","fekete;fehér;szürke","3","3","4","2","3","5","5","5","5","4","4","2","3","3","3"
"2024/02/01 11:31:11 de. EET","Puli","Középkorú","fekete","3","2","4","4","3","2","4","4","4","4","4","2","4","3","5"
"2024/02/01 11:31:13 de. EET","Keverék","Középkorú","fekete;fehér","2","2","4","4","3","1","3","4","4","2","5","2","1","4","4"
"2024/02/01 11:31:45 de. EET","Staffordshire bullterrier","Középkorú","fekete;fehér;barna","3","4","1","1","1","3","4","4","5","4","3","3","2","4","5"
"2024/02/01 11:32:15 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","2","3","1","2","4","3","4","3","5","1","3","2","1","4"
"2024/02/01 11:32:17 de. EET","Újfundlandi","Kölyök","fekete","5","4","5","4","5","5","4","5","5","5","5","2","3","5","3"
"2024/02/01 11:32:18 de. EET","Csivava","Középkorú","fekete;fehér","1","3","3","1","2","2","3","2","5","3","5","1","3","4","5"
"2024/02/01 11:32:42 de. EET","Puli","Középkorú","fekete;fehér","2","2","5","5","2","3","5","5","5","5","5","1","2","4","5"
"2024/02/01 11:33:07 de. EET","Basset hound","Idős","fehér;barna;sárgásbarna;vörös;krémszínű","3","4","1","1","4","5","3","3","5","5","5","5","5","1","2"
"2024/02/01 11:33:22 de. EET","Bullmasztiff","Középkorú","barna","5","4","2","1","3","3","4","3","5","5","5","2","1","5","5"
"2024/02/01 11:34:52 de. EET","Francia bulldog","Középkorú","fekete;szürke","2","2","1","1","2","1","4","3","4","5","1","3","1","1","1"
"2024/02/01 11:35:10 de. EET","Malinois","Kölyök","fekete;vörös","4","3","2","1","1","3","5","5","5","3","3","2","3","3","5"
"2024/02/01 11:35:17 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;barna","3","2","5","1","3","3","4","5","5","5","3","1","4","2","3"
"2024/02/01 11:35:30 de. EET","Német juhászkutya","Középkorú","barna","4","3","2","1","2","4","4","5","4","4","1","2","3","1","4"
"2024/02/01 11:35:44 de. EET","Jack Russell terrier","Középkorú","fekete;fehér","2","3","1","1","1","4","5","5","4","3","3","1","1","4","5"
"2024/02/01 11:36:23 de. EET","Puli","Középkorú","fekete","3","2","2","4","4","4","4","3","3","5","3","2","2","5","4"
"2024/02/01 11:36:47 de. EET","Shiba Inu","Középkorú","sárgásbarna;vörös","3","2","3","1","2","4","3","3","4","2","1","2","2","4","5"
"2024/02/01 11:36:47 de. EET","Német juhászkutya","Középkorú","fekete;vörös","4","4","3","1","2","4","5","5","5","4","1","3","2","3","5"
"2024/02/01 11:37:07 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","1","1","1","1","5","5","4","3","1","1","2","4","5","4"
"2024/02/01 11:37:35 de. EET","Basset hound","Idős","fekete;fehér;barna","4","4","2","1","3","3","4","3","3","5","5","4","2","3","1"
"2024/02/01 11:38:43 de. EET","Máltai selyemkutya","Középkorú","fehér","1","3","3","2","5","1","2","4","3","1","1","2","5","2","5"
"2024/02/01 11:39:44 de. EET","Shar pei","Idős","sárgásbarna","3","3","1","1","3","3","3","3","5","3","3","4","1","5","5"
"2024/02/01 11:39:54 de. EET","Francia bulldog","Idős","fekete;vörös","4","4","3","1","1","3","2","2","3","5","2","2","1","3","2"
"2024/02/01 11:40:02 de. EET","Ír szetter","Idős","vörös","4","3","5","3","5","3","5","4","5","5","5","1","1","4","4"
"2024/02/01 11:41:09 de. EET","Ír szetter","Középkorú","vörös","4","3","5","3","5","3","5","5","5","5","5","1","1","4","4"
"2024/02/01 11:41:15 de. EET","Uszkár","Középkorú","fekete","4","4","5","5","5","1","3","4","5","5","5","1","3","4","3"
"2024/02/01 11:41:23 de. EET","Puli","Középkorú","fehér","3","3","5","2","3","1","4","3","5","5","3","1","5","3","4"
"2024/02/01 11:42:31 de. EET","Keverék","Középkorú","fehér;barna","2","3","3","4","5","4","3","4","5","5","1","1","1","5","5"
"2024/02/01 11:43:34 de. EET","Golden retriever","Középkorú","sárgásbarna;krémszínű","3","3","4","1","3","4","3","5","4","5","4","4","1","3","2"
"2024/02/01 11:43:42 de. EET","Tibeti terrier","Középkorú","fekete;fehér","3","3","4","3","5","2","3","3","5","5","5","2","3","1","4"
"2024/02/01 11:43:50 de. EET","Bichon","Kölyök","krémszínű","2","2","5","3","5","5","3","4","4","5","5","2","3","2","3"
"2024/02/01 11:43:53 de. EET","Csivava","Középkorú","sárgásbarna","2","2","5","3","3","5","5","4","3","5","4","3","1","4","3"
"2024/02/01 11:43:57 de. EET","Staffordshire bullterrier","Középkorú","barna","3","3","1","1","3","2","5","5","5","5","2","1","1","4","4"
"2024/02/01 11:44:01 de. EET","Basset hound","Idős","fekete;fehér;barna","4","4","2","1","3","3","3","1","3","5","2","4","4","2","2"
"2024/02/01 11:44:26 de. EET","Jack Russell terrier","Idős","fekete;fehér;barna","4","5","1","1","3","2","2","4","5","5","4","3","2","3","5"
"2024/02/01 11:44:27 de. EET","Puli","Idős","fekete","3","2","3","4","2","2","5","5","5","5","2","1","4","2","4"
"2024/02/01 11:44:44 de. EET","Ír szetter","Középkorú","vörös","4","5","4","4","5","5","5","5","1","2","2","5","4","5","3"
"2024/02/01 11:44:46 de. EET","Bichon","Kölyök","fehér;szürke;barna","1","3","5","2","3","1","3","5","4","5","5","1","1","3","1"
"2024/02/01 11:46:36 de. EET","Jack Russell terrier","Idős","fehér;vörös","1","5","2","1","2","3","3","5","5","2","1","2","4","2","5"
"2024/02/01 11:46:42 de. EET","Tibeti terrier","Középkorú","fehér","4","3","5","2","4","3","5","5","5","5","5","1","3","5","3"
"2024/02/01 11:46:45 de. EET","Puli","Középkorú","fekete","3","3","3","4","1","1","4","4","5","4","4","2","4","5","5"
"2024/02/01 11:46:49 de. EET","Shiba Inu","Középkorú","fekete;barna;sárgásbarna;vörös","2","3","3","1","2","5","4","5","4","5","5","1","1","3","5"
"2024/02/01 11:47:03 de. EET","Keverék","Középkorú","barna","4","3","3","1","3","2","5","5","4","5","1","3","1","5","4"
"2024/02/01 11:47:03 de. EET","Bichon","Középkorú","sárgásbarna","1","2","3","1","4","3","4","4","4","5","5","1","1","5","2"
"2024/02/01 11:47:08 de. EET","Basset hound","Középkorú","fekete;fehér;barna","4","5","3","1","3","5","3","2","5","5","5","3","2","4","5"
"2024/02/01 11:47:38 de. EET","Basset hound","Idős","fekete;fehér;barna","3","4","3","1","1","2","2","2","3","3","1","3","2","4","2"
"2024/02/01 11:47:48 de. EET","Tibeti terrier","Idős","fehér;krémszínű","5","3","3","3","5","1","3","5","5","5","4","1","5","4","1"
"2024/02/01 11:48:21 de. EET","Malinois","Középkorú","fekete;barna","3","4","2","1","2","3","5","5","5","4","1","2","2","5","5"
"2024/02/01 11:48:30 de. EET","Máltai selyemkutya","Középkorú","fehér","3","5","3","3","5","1","3","5","5","4","3","2","2","5","5"
"2024/02/01 11:49:12 de. EET","Német juhászkutya","Középkorú","fekete;barna;sárgásbarna","5","3","3","1","3","5","5","5","5","5","2","1","3","1","5"
"2024/02/01 11:49:57 de. EET","Shiba Inu","Középkorú","fehér;sárgásbarna","3","3","3","1","3","5","4","5","5","2","4","2","1","4","3"
"2024/02/01 11:50:20 de. EET","Máltai selyemkutya","Középkorú","fehér","1","1","5","2","5","1","3","3","3","3","5","4","3","3","5"
"2024/02/01 11:50:21 de. EET","Border collie","Középkorú","fekete","3","3","4","1","3","3","4","5","5","2","3","1","2","4","3"
"2024/02/01 11:50:44 de. EET","Shiba Inu","Középkorú","fekete;fehér;barna","3","2","3","1","4","4","5","5","5","3","5","3","4","5","5"
"2024/02/01 11:51:02 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;sárgásbarna","3","3","2","2","4","5","4","4","5","5","5","1","3","5","5"
"2024/02/01 11:51:23 de. EET","Shiba Inu","Középkorú","sárgásbarna","3","2","3","1","1","2","4","5","5","4","1","2","2","4","1"
"2024/02/01 11:51:33 de. EET","Csivava","Középkorú","barna","3","3","2","1","3","1","3","3","3","5","3","2","2","2","4"
"2024/02/01 11:51:43 de. EET","Német juhászkutya","Kölyök","fehér;szürke;barna","3","4","2","1","2","3","5","5","5","3","4","2","5","3","5"
"2024/02/01 11:51:50 de. EET","Puli","Középkorú","fekete;fehér","4","4","4","4","3","4","3","4","4","3","4","2","4","4","5"
"2024/02/01 11:51:59 de. EET","Ír szetter","Középkorú","fehér;vörös","5","3","5","3","4","5","5","5","5","5","3","3","1","5","1"
"2024/02/01 11:52:28 de. EET","Ausztrál juhászkutya","Idős","fekete;fehér;szürke;krémszínű","3","3","5","2","5","5","3","4","5","5","5","2","4","5","5"
"2024/02/01 11:52:51 de. EET","Újfundlandi","Kölyök","fekete;fehér","5","4","4","2","3","5","4","3","4","5","5","1","1","3","2"
"2024/02/01 11:53:00 de. EET","Csivava","Középkorú","sárgásbarna;krémszínű","1","1","4","2","3","3","3","3","4","2","3","3","2","4","4"
"2024/02/01 11:53:04 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;barna","4","4","4","2","1","5","5","4","4","3","3","3","1","3","1"
"2024/02/01 11:53:08 de. EET","Vizsla","Középkorú","vörös","4","5","1","1","3","1","5","5","4","5","2","2","4","2","3"
"2024/02/01 11:53:43 de. EET","Shiba Inu","Középkorú","fehér;vörös","2","2","2","1","1","3","3","2","4","2","3","1","2","3","1"
"2024/02/01 11:54:15 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;szürke;barna","3","3","3","2","3","5","5","5","5","2","3","2","3","4","4"
"2024/02/01 11:54:17 de. EET","Dobermann","Idős","fekete;barna","5","3","1","1","2","3","4","4","5","5","5","1","1","5","5"
"2024/02/01 11:54:24 de. EET","Border collie","Középkorú","fekete;fehér","3","4","4","1","3","4","5","5","5","5","5","1","2","2","3"
"2024/02/01 11:54:54 de. EET","Alaszkai malamut","Középkorú","fekete;fehér;szürke","5","4","4","1","1","4","5","5","4","3","1","2","1","3","3"
"2024/02/01 11:54:56 de. EET","Csivava","Kölyök","fekete;fehér","1","1","2","1","1","2","5","5","5","2","2","2","3","3","2"
"2024/02/01 11:55:08 de. EET","Tibeti terrier","Középkorú","barna;sárgásbarna;krémszínű","2","2","5","1","4","1","3","4","5","5","3","2","2","2","3"
"2024/02/01 11:55:30 de. EET","Dalmata","Középkorú","fekete;fehér","4","4","1","1","1","4","5","5","5","5","5","1","1","2","3"
"2024/02/01 11:55:39 de. EET","Puli","Középkorú","fekete","2","3","2","2","2","1","2","1","3","4","5","1","2","3","1"
"2024/02/01 11:55:46 de. EET","Német juhászkutya","Középkorú","barna;sárgásbarna","4","3","2","1","1","3","2","4","5","5","4","1","3","3","1"
"2024/02/01 11:56:24 de. EET","Uszkár","Idős","fekete","2","2","4","5","5","1","4","3","5","5","5","3","3","4","1"
"2024/02/01 11:56:25 de. EET","Malinois","Középkorú","fekete;vörös","5","3","2","1","2","2","5","5","5","3","3","2","2","3","5"
"2024/02/01 11:57:02 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;szürke;barna","3","4","3","1","2","4","5","5","5","4","3","3","2","5","1"
"2024/02/01 11:57:10 de. EET","Keverék","Középkorú","sárgásbarna","3","3","3","4","2","3","3","3","4","1","3","1","3","4","5"
"2024/02/01 11:57:31 de. EET","Shiba Inu","Kölyök","fehér;sárgásbarna;krémszínű","3","3","3","1","3","5","5","5","5","5","5","2","4","2","5"
"2024/02/01 11:57:58 de. EET","Tibeti terrier","Kölyök","fekete;fehér;barna;sárgásbarna","3","3","5","1","4","1","4","5","5","5","3","1","3","3","3"
"2024/02/01 11:58:21 de. EET","Ír szetter","Középkorú","vörös","3","3","4","2","3","3","4","4","4","5","5","2","2","3","3"
"2024/02/01 11:58:59 de. EET","Staffordshire bullterrier","Középkorú","fehér;barna","3","3","2","1","2","4","3","3","5","5","1","2","1","5","3"
"2024/02/01 11:59:59 de. EET","Ír szetter","Középkorú","vörös","3","3","4","2","4","4","5","5","3","5","5","2","1","1","1"
"2024/02/01 12:00:23 du. EET","Puli","Középkorú","fekete","3","2","3","3","2","2","4","3","3","5","4","2","3","3","4"
"2024/02/01 12:00:49 du. EET","Malinois","Középkorú","fekete;barna;vörös","5","4","3","1","1","4","5","5","5","2","3","3","4","5","5"
"2024/02/01 12:00:50 du. EET","Keverék","Középkorú","fekete;fehér;barna;vörös","3","3","4","4","3","4","5","5","5","2","2","1","3","2","5"
"2024/02/01 12:01:01 du. EET","Staffordshire bullterrier","Középkorú","fekete","3","3","1","1","2","3","5","5","4","2","1","2","2","4","4"
"2024/02/01 12:01:14 du. EET","Bernáthegyi","Középkorú","fekete;fehér;barna","5","5","5","4","3","5","5","5","3","5","1","3","5","5","4"
"2024/02/01 12:01:44 du. EET","Francia bulldog","Középkorú","barna","2","3","1","1","3","3","3","5","4","5","3","1","2","4","5"
"2024/02/01 12:01:59 du. EET","Labrador retriever","Középkorú","fekete","3","3","2","1","3","5","5","4","5","5","3","3","3","5","3"
"2024/02/01 12:02:30 du. EET","Akita","Kölyök","fekete;fehér;szürke;sárgásbarna;vörös","4","3","3","1","3","5","3","3","4","3","3","2","1","4","5"
"2024/02/01 12:02:43 du. EET","Ausztrál juhászkutya","Kölyök","fekete;fehér;szürke;barna","4","3","5","3","4","5","5","5","5","4","3","2","3","4","3"
"2024/02/01 12:02:44 du. EET","foxterrier","Középkorú","fekete;fehér;barna","2","3","4","3","2","5","4","4","2","3","2","2","2","2","5"
"2024/02/01 12:02:53 du. EET","Francia bulldog","Középkorú","barna","1","3","1","1","3","2","1","1","1","5","1","1","1","1","1"
"2024/02/01 12:04:32 du. EET","Akita","Kölyök","fekete;fehér;szürke","4","3","4","2","5","4","3","5","4","5","3","1","4","1","5"
"2024/02/01 12:04:33 du. EET","Labrador retriever","Idős","sárgásbarna","4","4","3","1","2","5","1","2","4","5","4","2","2","4","1"
"2024/02/01 12:05:07 du. EET","Shiba Inu","Középkorú","fehér;vörös","3","3","3","1","4","4","3","5","5","4","5","2","2","5","3"
"2024/02/01 12:05:45 du. EET","Bullterrier","Idős","fehér;sárgásbarna","3","3","1","1","1","2","4","5","5","4","5","3","1","5","4"
"2024/02/01 12:06:07 du. EET","Ausztrál juhászkutya","Középkorú","fekete;barna;krémszínű","3","3","4","2","5","5","3","5","5","5","5","2","2","5","1"
"2024/02/01 12:06:28 du. EET","Jack Russell terrier","Középkorú","fekete;fehér;barna","2","3","1","1","3","3","5","5","4","4","3","2","1","4","4"
"2024/02/01 12:06:46 du. EET","Amerikai staffordshire terrier","Középkorú","fehér;barna","3","3","1","1","1","3","3","2","4","5","4","2","1","3","3"
"2024/02/01 12:07:00 du. EET","Ausztrál juhászkutya","Idős","fekete;fehér;barna","3","3","4","2","5","5","2","2","5","5","1","5","4","5","4"
"2024/02/01 12:07:05 du. EET","Puli","Idős","fekete","4","4","5","4","4","3","3","4","5","3","3","3","2","5","5"
"2024/02/01 12:08:13 du. EET","Csivava","Idős","fehér;sárgásbarna","1","4","4","1","2","3","3","5","3","2","1","1","3","5","5"
"2024/02/01 12:08:32 du. EET","Bullterrier","Középkorú","fekete;fehér","3","4","3","1","1","5","3","4","2","5","4","3","2","4","3"
"2024/02/01 12:08:43 du. EET","Rottweiler","Középkorú","fekete;barna","5","4","3","1","2","3","4","3","5","4","2","2","2","3","4"
"2024/02/01 12:09:12 du. EET","Német juhászkutya","Középkorú","fekete;barna;sárgásbarna","4","5","3","1","3","3","5","5","5","2","1","1","1","5","5"
"2024/02/01 12:09:17 du. EET","Tacskó","Középkorú","fekete;fehér","3","3","1","1","1","1","5","5","5","5","5","3","4","3","5"
"2024/02/01 12:09:40 du. EET","Bullterrier","Kölyök","fekete;fehér;barna","4","5","1","1","3","4","4","5","1","5","5","1","3","5","4"
"2024/02/01 12:09:55 du. EET","Csivava","Középkorú","fehér","2","2","1","1","2","3","1","5","5","5","5","2","2","5","5"
"2024/02/01 12:10:00 du. EET","Máltai selyemkutya","Középkorú","fehér","2","1","2","2","2","1","2","4","4","2","2","1","4","4","3"
"2024/02/01 12:10:00 du. EET","Staffordshire bullterrier","Középkorú","fekete","3","3","1","1","5","5","5","5","5","5","5","1","1","1","5"
"2024/02/01 12:10:24 du. EET","Német juhászkutya","Középkorú","fekete","4","4","1","1","1","2","4","4","4","4","1","2","3","3","5"
"2024/02/01 12:11:13 du. EET","Jack Russell terrier","Középkorú","fekete;fehér;barna","5","3","1","1","1","1","5","4","3","1","1","3","1","4","1"
"2024/02/01 12:11:53 du. EET","Yorkshire terrier","Középkorú","szürke;barna","1","2","5","1","5","1","3","5","5","5","5","1","3","1","5"
"2024/02/01 12:11:55 du. EET","Bernáthegyi","Középkorú","fekete;fehér;barna;sárgásbarna","5","5","3","2","3","4","3","4","5","4","3","3","1","1","5"
"2024/02/01 12:11:59 du. EET","Shiba Inu","Kölyök","fekete;barna","3","3","3","1","2","2","4","5","3","3","2","1","2","3","3"
"2024/02/01 12:13:27 du. EET","Csivava","Kölyök","fehér","2","1","1","1","1","3","1","3","2","3","1","1","1","4","2"
"2024/02/01 12:13:58 du. EET","Bullterrier","Középkorú","fekete;fehér;barna","3","3","1","1","1","1","1","3","3","5","5","3","1","3","3"
"2024/02/01 12:14:27 du. EET","Tibeti terrier","Középkorú","fekete;barna;sárgásbarna","2","1","5","4","5","1","3","5","4","4","3","2","2","1","1"
"2024/02/01 12:15:56 du. EET","Beagle","Idős","fekete;fehér;barna","2","3","2","1","1","3","3","3","4","4","4","4","2","5","4"
"2024/02/01 12:15:58 du. EET","Bullterrier","Idős","barna","5","5","3","1","3","3","2","3","3","3","1","4","3","1","4"
"2024/02/01 12:16:00 du. EET","Jack Russell terrier","Középkorú","fekete;fehér;sárgásbarna","4","3","2","1","1","5","3","3","5","5","5","2","2","4","5"
